taxon,raw_date,resolved_date,date_precision,older_taxon_count,applicable_trait_count,primary_donor,primary_donor_date,primary_donor_gap_days,primary_donor_borrowed_trait_count,secondary_donor_count,borrowed_trait_count,innovation_count,secondary_donor_cost_total,trait_borrow_cost_total,innovation_cost_total,total_score,greedy_total_score,score_improvement_vs_greedy,innovations,donors,full_primary_donor,full_primary_donor_date,full_primary_donor_gap_days,full_primary_donor_borrowed_trait_count,primary_donor_support,primary_donor_nonempty_support,primary_donor_vote_count,primary_donor_nonempty_vote_count,primary_donor_in_full_solution,primary_donor_matches_full_primary,full_primary_donor_support,primary_donor_vote_breakdown
smollm3,2025-07-08,2025-07-08,exact_day,65,50,olmo,2024-02-01,523,21,2,48,2,4.00,4.80,2.00,10.80,10.80,0.00,norm_scheme|ffn_activation_core,exaone:attention_pattern|block_norm_variant|chunked_kv_cache|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|modality|ngram_memory|optional_nope|output_head_connection|projection_bias_scheme|q_lora_present|qk_norm|rglru_recurrence|rope_partition_detail|secondary_token_mixer|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope;olmo:altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|periodic_no_rope_layers|positional_encoding|residual_scheme|residual_update_rule|rope_parameterization|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_softcap,olmo,2024-02-01,523,26,0.8000,0.8000,16,20,1,0,0.0000,olmo:16;afm7:1;cohere:1;mamba:1;plamo:1
lfm2,2025-07-10,2025-07-10,exact_day,66,50,exaone,2024-08-07,337,45,1,45,5,2.00,4.50,5.00,11.50,11.50,0.00,hybrid_block_schedule|secondary_token_mixer|rope_parameterization|norm_scheme|tie_embeddings_configurable,exaone:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,exaone,2024-08-07,337,45,0.5500,0.5500,11,20,1,1,0.5500,exaone:11;plamo:5;ernie4_5:2;olmo2:2
exaone4,2025-07-15,2025-07-15,exact_day,67,50,olmo2,2024-11-26,231,29,2,50,0,4.00,5.00,0.00,9.00,9.00,0.00,,cohere2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|hybrid_block_schedule|kv_lora_present|lm_head_bias|modality|ngram_memory|output_head_connection|positional_encoding|residual_update_rule|secondary_token_mixer|window_schedule_detail|windowed_rope_scope;olmo2:block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_layout|kv_reuse_attention|laurel|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap,olmo2,2024-11-26,231,29,0.6500,0.6500,13,20,1,1,0.6500,olmo2:13;cohere2:3;olmoe:2;bailing_moe:1;qwen3:1
glm4_moe,2025-07-28,2025-07-28,exact_day,68,62,dots1,2025-06-06,52,60,1,60,2,2.00,6.00,2.00,10.00,10.00,0.00,positional_encoding|output_head_connection,dots1:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,dots1,2025-06-06,52,60,0.9000,0.9000,18,20,1,1,0.9000,dots1:18;bailing_moe:2
hunyuan_v1_dense,2025-07-30,2025-07-30,exact_day,69,51,qwen3,2025-04-29,92,,1,49,2,2.00,4.90,2.00,8.90,8.90,0.00,positional_encoding|tie_embeddings_default,qwen3:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,qwen3,2025-04-29,92,49,0.4000,0.4000,8,20,0,0,0.3000,qwen3:8;internlm3:6;hunyuan:4;dots1:1;olmo2:1
gpt_oss,2025-08-05,2025-08-05,exact_day,70,60,phimoe,2024-08-17,353,32,2,57,3,4.00,5.70,3.00,12.70,12.70,0.00,projection_bias_scheme|attention_pattern|window_schedule_detail,llama4:attention_output_gating|bitlinear_weights|block_norm_variant|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|moe_subtype|ngram_memory|norm_scheme|optional_nope|positional_encoding|q_lora_present|residual_scheme|residual_update_rule|rope_parameterization|router_activation|state_update_rule;phimoe:altup|attention_family|attention_projection|chunked_kv_cache|conv_on_kv|expert_bias_correction|ffn_projection_style|has_aux_relu2_gate|has_shared_expert|kv_layout|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|output_head_connection|periodic_no_rope_layers|qk_norm|rglru_recurrence|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope|zero_expert_option,phimoe,2024-08-17,353,31,0.5500,0.5500,11,20,1,1,0.5500,phimoe:11;olmoe:4;llama:3;ernie4_5_moe:2
seed_oss,2025-08-20,2025-08-20,exact_day,71,50,minicpm,2024-02-01,566,48,1,48,2,2.00,4.80,2.00,8.80,8.80,0.00,residual_update_rule|output_head_connection,granite:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,granite,2024-08-23,362,48,0.2500,0.2500,5,20,1,1,0.2500,minicpm:5;qwen2:4;granite:3;bitnet:1;deepseek:1;granitemoe:1;helium:1;internlm3:1;llama:1;olmo2:1;qwen3:1
lille-130m,2025-08-31,2025-08-31,exact_day,72,50,nemotron-nas,2024-09-23,342,,2,48,2,4.00,4.80,2.00,10.80,10.80,0.00,norm_scheme|ffn_core,afm7:attention_family|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|conv_on_kv|ffn_projection_style|has_aux_silu_gate|hybrid_block_schedule|kv_layout|laurel|ngram_memory|positional_encoding|residual_scheme|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default;plamo2:altup|attention_output_gating|chunked_kv_cache|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|kv_lora_present|kv_reuse_attention|lm_head_bias|modality|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,plamo2,2025-01-14,229,27,0.2000,0.2000,4,20,0,0,0.0500,nemotron-nas:4;afm7:3;glm:3;olmo:3;exaone:1;falcon_h1:1;helium:1;llama4_text:1;phimoe:1;plamo:1;plamo2:1
longcat_flash,2025-09-01,2025-09-01,exact_day,73,60,deepseek_v3,2024-12-26,249,33,2,59,1,4.00,5.90,1.00,10.90,10.90,0.00,zero_expert_option,deepseek_v3:altup|attention_family|attention_pattern|attention_projection|bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|lm_head_bias|modality|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|rope_parameterization|rope_partition_detail|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap|window_schedule_detail|windowed_rope_scope;olmoe:attention_output_gating|block_norm_variant|chunked_kv_cache|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_relu2_gate|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|laurel|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|residual_scheme|residual_update_rule|rglru_recurrence|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|uses_logit_scale,deepseek_v3,2024-12-26,249,33,0.7000,0.7000,14,20,1,1,0.7000,deepseek_v3:14;olmoe:3;ernie4_5_moe:2;gpt_oss:1
apertus,2025-09-02,2025-09-02,exact_day,74,50,glm4_moe,2025-07-28,36,31,2,49,1,4.00,4.90,1.00,9.90,10.80,0.90,ffn_projection_style,glm4_moe:altup|attention_family|attention_output_gating|attention_projection|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|global_plus_linear_attention_mix|has_aux_relu2_gate|hybrid_block_schedule|kv_layout|lm_head_bias|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_softcap|windowed_rope_scope;smollm3:attention_pattern|bitlinear_weights|block_norm_variant|ffn_activation_core|ffn_core|gated_delta_net|has_aux_silu_gate|has_moe|kv_lora_present|kv_reuse_attention|laurel|modality|positional_encoding|residual_scheme|residual_update_rule|secondary_token_mixer|uses_logit_scale|window_schedule_detail,glm4_moe,2025-07-28,36,31,0.3000,0.3000,6,20,1,1,0.3000,glm4_moe:6;openelm:4;smollm3:3;bailing_moe:1;dots1:1;nemotron:1;olmo2:1;olmoe:1;qwen3:1;qwen3_moe:1
Klear,2025-09-04,2025-09-04,exact_day,75,63,dots1,2025-06-06,90,35,2,61,2,4.00,6.10,2.00,12.10,12.10,0.00,shared_branch_merge_mode|coefficient_mix_shared_routed,dots1:altup|attention_family|attention_pattern|block_norm_variant|conv_on_kv|dual_attention_modules|expert_bias_correction|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|moe_distribution|moe_subtype|ngram_memory|norm_scheme|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale;nemotron_h:attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|cross_layer_kv_sharing|ffn_activation_core|ffn_core|global_plus_linear_attention_mix|has_shared_expert|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_schedule_type|optional_nope|output_head_connection|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|secondary_token_mixer|shared_expert_configurable|tie_embeddings_configurable|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,nemotron_h,2025-03-20,168,31,0.4500,0.4500,9,20,1,1,0.4500,dots1:9;nemotron_h:4;qwen3_moe:4;glm4_moe:2;llama4:1
qwen3_next,2025-09-09,2025-09-09,exact_day,76,63,bailing_moe_linear,2025-04-24,138,49,3,60,3,6.00,6.00,3.00,15.00,15.70,0.70,state_update_rule|attention_family|gated_delta_net,bailing_moe_linear:altup|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|grouped_expert_selection|has_aux_relu2_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option;nemotron_h:global_plus_linear_attention_mix|has_aux_silu_gate|moe_schedule_type|norm_scheme;qwen2_moe:attention_projection|expert_bias_correction|moe_subtype|router_activation|router_activation_configurable|shared_branch_merge_mode|shared_expert_configurable,bailing_moe_linear,2025-04-24,138,49,0.9000,0.9000,18,20,1,1,0.9000,bailing_moe_linear:18;qwen2_moe:1;qwen3_moe:1
deepseek_v32,2025-09-29,2025-09-29,exact_day,77,63,deepseek_v3,2024-12-26,277,59,1,59,4,2.00,5.90,4.00,11.90,11.90,0.00,qk_norm|qk_norm_detail|norm_scheme|dual_attention_modules,deepseek_v3:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,deepseek_v3,2024-12-26,277,59,1.0000,1.0000,20,20,1,1,1.0000,deepseek_v3:20
lfm2_moe,2025-10-07,2025-10-07,exact_day,78,60,lfm2,2025-07-10,89,54,2,58,2,4.00,5.80,2.00,11.80,11.80,0.00,moe_distribution|router_activation,deepseek_v3:expert_bias_correction|has_moe|moe_schedule_type|moe_subtype;lfm2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,lfm2,2025-07-10,89,54,0.7000,0.7000,14,20,1,1,0.7000,lfm2:14;granitemoe:3;dots1:2;glm4_moe:1
nanochat,2025-10-13,2025-10-13,exact_day,79,50,plamo,2023-09-28,746,,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,ffn_activation_core,baichuan_m1:altup|attention_family|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|dual_attention_modules|ffn_core|gated_delta_net|has_aux_relu2_gate|has_moe|hybrid_block_schedule|laurel|lm_head_bias|norm_scheme|optional_nope|output_head_connection|positional_encoding|q_lora_present|residual_update_rule|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap;phixtral:attention_output_gating|attention_pattern|conv_on_kv|cross_layer_kv_sharing|ffn_projection_style|global_plus_linear_attention_mix|has_aux_silu_gate|kv_layout|kv_lora_present|kv_reuse_attention|modality|ngram_memory|periodic_no_rope_layers|projection_bias_scheme|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|tie_embeddings_configurable|window_schedule_detail|windowed_rope_scope,baichuan_m1,2025-01-23,263,26,0.4000,0.4000,8,20,0,0,0.1000,plamo:8;baichuan_m1:4;apertus:2;phixtral:2;deepseek:1;lfm2:1;lfm2_moe:1;openelm:1
minimax,2025-10-27,2025-10-27,exact_day,80,61,dots1,2025-06-06,143,36,2,61,0,4.00,6.10,0.00,10.10,10.10,0.00,,dots1:attention_output_gating|attention_pattern|attention_projection|block_norm_variant|chunked_kv_cache|conv_on_kv|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_silu_gate|hybrid_block_schedule|kv_layout|modality|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|router_activation|shared_expert_configurable|stack_topology|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|window_schedule_detail;phixtral:altup|attention_family|bitlinear_weights|cross_layer_kv_sharing|dual_attention_modules|ffn_core|grouped_expert_selection|has_aux_relu2_gate|has_moe|has_shared_expert|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|positional_encoding|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|state_update_rule|uses_logit_softcap|windowed_rope_scope|zero_expert_option,dots1,2025-06-06,143,31,0.3500,0.3500,7,20,1,1,0.3500,dots1:7;phixtral:3;Klear:2;dbrx:2;glm4_moe:2;olmoe:2;bailing_moe:1;mixtral:1
kimi_linear,2025-10-30,2025-10-30,exact_day,81,60,qwen3_next,2025-09-09,51,29,2,56,4,4.00,5.60,4.00,13.60,13.60,0.00,attention_family|hybrid_block_schedule|rope_partition_detail|router_activation,longcat_flash:altup|attention_projection|bitlinear_weights|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|global_plus_linear_attention_mix|has_shared_expert|kv_layout|kv_lora_present|kv_reuse_attention|laurel|moe_schedule_type|ngram_memory|norm_scheme|optional_nope|positional_encoding|projection_bias_scheme|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|same_block_attention_ssm|uses_logit_scale|uses_logit_softcap|windowed_rope_scope;qwen3_next:attention_output_gating|attention_pattern|block_norm_variant|chunked_kv_cache|conv_on_kv|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|lm_head_bias|modality|moe_distribution|moe_subtype|output_head_connection|periodic_no_rope_layers|q_lora_present|residual_update_rule|router_activation_configurable|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|zero_expert_option,qwen3_next,2025-09-09,51,29,0.6000,0.6000,12,20,1,1,0.6000,qwen3_next:12;longcat_flash:7;deepseek_v3:1
olmo3,2025-11-20,2025-11-20,exact_day,82,51,exaone4,2025-07-15,128,31,2,50,1,4.00,5.00,1.00,10.00,10.00,0.00,ffn_core,exaone4:altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail;gpt_oss:attention_pattern|tie_embeddings_default|windowed_rope_scope,exaone4,2025-07-15,128,47,0.6500,0.6500,13,20,1,1,0.6500,exaone4:13;llama:3;olmo2:2;glm4:1;gpt_oss:1
afmoe,2025-12-01,2025-12-01,exact_day,83,63,dots1,2025-06-06,178,,2,58,5,4.00,5.80,5.00,14.80,14.80,0.00,window_schedule_detail|attention_output_gating|windowed_rope_scope|residual_scheme|grouped_expert_selection,dots1:altup|bitlinear_weights|block_norm_variant|coefficient_mix_shared_routed|cross_layer_kv_sharing|expert_bias_correction|ffn_activation_core|ffn_projection_style|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|kv_reuse_attention|lm_head_bias|modality|moe_subtype|optional_nope|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rope_parameterization|rope_partition_detail|router_activation|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|zero_expert_option;gpt_oss:attention_family|attention_pattern|attention_projection|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|moe_distribution|moe_schedule_type|ngram_memory|norm_scheme|periodic_no_rope_layers|rglru_recurrence|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|uses_logit_softcap,dots1,2025-06-06,178,34,0.4000,0.4000,8,20,0,0,0.0500,dots1:8;bailing_moe_linear:4;gpt_oss:3;ernie4_5_moe:1;exaone4:1;glm4_moe:1;mixtral:1;phimoe:1
ministral3,2025-12-02,2025-12-02,exact_day,84,50,llama,2023-02-27,1009,49,1,49,1,2.00,4.90,1.00,7.90,7.90,0.00,rope_parameterization,llama:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,llama,2023-02-27,1009,49,1.0000,1.0000,20,20,1,1,1.0000,llama:20
mimo_v2_flash,2025-12-16,2025-12-16,exact_day,85,62,glm4_moe,2025-07-28,141,31,2,61,1,4.00,6.10,1.00,11.10,11.10,0.00,rope_parameterization,glm4_moe:attention_family|attention_output_gating|bitlinear_weights|block_norm_variant|chunked_kv_cache|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|grouped_expert_selection|has_moe|has_shared_expert|kv_layout|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|residual_update_rule|rglru_recurrence|router_activation|router_activation_configurable|shared_branch_merge_mode|stack_topology|uses_logit_scale|uses_logit_softcap;gpt_oss:altup|attention_pattern|attention_projection|coefficient_mix_shared_routed|conv_on_kv|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|norm_scheme|optional_nope|q_lora_present|qk_norm|residual_scheme|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|windowed_rope_scope|zero_expert_option,glm4_moe,2025-07-28,141,31,0.6000,0.6000,12,20,1,1,0.6000,glm4_moe:12;deepseek_v3:4;bailing_moe:1;deepseek_v32:1;gpt_oss:1;stablelm:1
